doc_id,source,sentence,has_smell,smell_codes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,사용내역은 조회기간(일자)을 지정할 수 있어야 함,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,바이오정보의 특징점을 편집하였을 경우 변경된 바이오정보도 요청 또는 검색대상 정보에 저장되어 비교․검색이 가능하여야 함,1,"S2, S18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"공통사항 - 서버의 운영 체제는 유닉스계열 혹은 기타 전용 운영체제의 표준을 준수하여야 함 - 서버는 요구 규격을 충족하여야 하며 성능향상 등 확장성을 고려충분한 하드웨어 여유공간을 확보할 수 있도록 구성 - 필요한 경우 기존 시스템 운용 장비 이전, 환경설정, 최적화 등에 대해서도 지원하여야 함 - 납품장비는 세부사양 동등 또는 그 이상의 제품이어야 함",1,"S1, S3, S6, S8, S10, S13, S18",1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,기존 운영환경과 호환이 가능하여야 함.,1,"S2, S18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,기존 운영환경과 호환이 가능하여야 함.,1,"S2, S18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"외국인지문확인시스템 사용자 교육용 프로그램 개발 - 신규자 등 사용자교육 시 로컬PC(오프라인)에서 구동이 가능한 교육용 프로그램 개발 - 바이오정보(지문, 얼굴) 취득(입력기기 또는 파일입력) 및 저장기능 개발 - 교육용 바이오정보 DB 구축(로컬PC에서 검색 등이 가능하여야 함) 산출정보 관련요구사항 요구사항 분류 기능 요구사항 요구사항 고유번호 SFR-014 요구사항 명칭 EA 현행화 요구 사항 상세 설명 정의 법무부 EA현행화 세부 내용",1,"S2, S6, S7, S18",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"사용자 인터페이스 - 시스템은 CS기반으로 구축 - 시스템의 모든 기능을 키보드, 마우스 등의 인터페이스를 사용할수 있어야 함",1,"S8, S18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,데이터 무결성 - 외국인지문확인시스템(FBIS)의 바이오정보 DB와 정합성을 유지하여야 함 산출정보 관련요구사항 6) 테스트 요구사항(TER) 요구사항 분류 테스트 요구사항 요구사항 고유번호 TER-001 요구사항 명칭 시스템 고도화 방안 마련을 위한 테스트 자료 작성 요구 사항 상세 설명 정의 바이오정보 특징점 추출 및 검색대상정보 메모리 업로드 테스트 세부 내용,1,"S5, S6, S7, S18",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"신뢰성 - 시스템은 24/7 무중단 운영이 가능하여야 함 - DISK 안정성 확보를 위해 RAID 1 구성 - 신속한 장애복구를 위한 장애 상황별 대응방안 제시 및 지원체계를 마련하여야 하며, 장애상황 공지 기능 구현",1,"S3, S6, S7, S10, S18",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
[법무부 인천공항출입국관리사무소]바이오정보전문분석시스템 구축(양식 우수),HWP 요구사항후보,"시스템 성능 - 테스트 및 실 운영 시 속도저하, 장애발생, 보안취약점 발견, 기능미비 등의 문제로 인해 사용에 중대한 지장이 있거나 충분한 성능이 확보되지 않을 경우 주관기관은 납품 시스템의 교체 또는 대체, 용량 증설, 보완 등을 요구할 수 있으며 사업수행사는 이에 응해야 하고 이로 인하여 발생되는 모든 비용은 사업수행사가 부담해야 한다 산출정보 관련요구사항 요구사항 분류 품질 요구사항 요구사항 고유번호 QUR-002 요구사항 명칭 시스템 품질 요구사항 요구 사항 상세 설명 정의 시스템 하자 및 유지보수 관련 요구사항 세부 내용",1,"S3, S6, S7, S8, S18",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
