doc_id,sentence
[조달청]홈페이지_9.품질요약,[QUR-007] 외국어 번역(영어)
[조달청]홈페이지_9.품질요약,[QUR-008] 기능 구현 정확성
[조달청]홈페이지_9.품질요약,[QUR-009] 시스템 업그레이드
[조달청]홈페이지_9.품질요약,[QUR-010] 무상 보증 대상 및 기간
[조달청]홈페이지_9.품질요약,[QUR-011] 시스템 확장
[조달청]홈페이지_9.품질요약,[QUR-012] 사용자 인증 및 제어
[조달청]홈페이지_9.품질요약,[QUR-013] 데이터 무결성
[조달청]홈페이지_10.제약요약,[COR-001] 기본 제약사항
[조달청]홈페이지_10.제약요약,[COR-002] 개발 및 운영환경
[조달청]홈페이지_10.제약요약,[COR-003] 개발 및 보안지침 준수
[조달청]홈페이지_10.제약요약,[COR-004] 웹 접근성 준수
[조달청]홈페이지_10.제약요약,[COR-005] 웹 표준 및 호환성 준수
[조달청]홈페이지_10.제약요약,[COR-006] 웹 취약점 점검
[조달청]홈페이지_10.제약요약,[COR-007] 반응형 웹 기술 적용
[조달청]홈페이지_10.제약요약,[COR-008] 지적재산권 관련
[조달청]홈페이지_10.제약요약,[COR-009] 공개 SW 사용
[조달청]홈페이지_11.관리요약,[PMR-001] 개발방법론 활용방안 제시
[조달청]홈페이지_11.관리요약,[PMR-002] 사업수행 계획 수립
[조달청]홈페이지_11.관리요약,[PMR-003] 사업수행조직 구성
[조달청]홈페이지_11.관리요약,[PMR-004] 투입 인력 일반 요건
[조달청]홈페이지_11.관리요약,[PMR-005] 투입 인력 자격 요건
[조달청]홈페이지_11.관리요약,[PMR-006] 투입 인력 및 장비 관리
[조달청]홈페이지_11.관리요약,[PMR-010] 산출물 관리
[조달청]홈페이지_11.관리요약,[PMR-011] 사용자 매뉴얼
[조달청]홈페이지_11.관리요약,[PMR-012] 운영자 매뉴얼
[조달청]홈페이지_11.관리요약,[PMR-013] 벤치마킹 수행
[조달청]홈페이지_11.관리요약,[PMR-014] 부서별 요구사항 분석
[조달청]홈페이지_11.관리요약,[PMR-016] 홈페이지 만족도 조사
[조달청]홈페이지_12.지원요약,[PSR-001] 기술이전 및 지원
[조달청]홈페이지_12.지원요약,[PSR-002] 장애관리 및 백업
[조달청]홈페이지_12.지원요약,[PSR-004] 하자·유지보수
[조달청]홈페이지_3.기능요구,"[SFR-001] 종합민원센터: 1. 종합민원안내, 계약법규질의 및 사례, 조달업무질의 및 사례 기능 제공
2. 기획재정부 유권해설사례 링크
3. 증명서 발급신청 기능 제공
4. 자주하는 질문(FAQ) 게시판 기능
  - 신규정책/전체검색 페이지
  - 등록/조달요청/입찰및계약/적격심사/계약관리/물품관리/비축물자/품질관리/기타 항목별 FAQ 제공
5. 110 정부민원안내콜센터 화면 연동"
[조달청]홈페이지_3.기능요구,"[SFR-002] 조달신문고: 1. 조달관련 신고
  - 조달신문고안내
  - 조달품질신문고
  - 본청 신문고 정보와 지방청별 신문고 정보 분류
2. 국민신문고 연계(www.epeople.go.kr)
  - 불친절신고, 예산낭비신고, 진정/건의, 부조리신고"
[조달청]홈페이지_3.기능요구,"[SFR-003] 국민제안: 1. 조달관련 국민제안 등록기능
  - 등록/공개제안/나의제안 기능구성
2. 국민신문고 연계(www.epeople.go.kr)
  - 예산절감, 제도개선, 규제개혁
3. 감사제안 및 E-정부조달모니터방 기능"
[조달청]홈페이지_3.기능요구,"[SFR-004] 정책토론: 1. 정책토론 게시판 기능 : 전자공청회, 정책포험
2. 정책관련 설문조사 기능"
[조달청]홈페이지_3.기능요구,"[SFR-005] 청장과의 대화: 1. 소통형 게시판기능
  - 청장 답변등록기능, 접수상태관리"
[조달청]홈페이지_3.기능요구,[SFR-006] 칭찬합시다: 1. 칭찬합시다 주제글 게시판기능
